Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
200401,0.06,-1.07,-0.62,0.44,4.53,1.41,0.45,3.09,1.92,2.88
200402,4.25,-0.07,1.95,4.69,-2.92,-0.52,6.09,0.89,2.07,2.16
200403,-0.09,-1.15,-0.27,-0.13,-2.55,-2.07,0.29,-3.96,1.13,-0.63
200404,1.42,2.3,-0.17,2.52,-4.91,-0.48,-2.7,3.54,-3.55,-3.76
200405,-1.89,-1.64,1.61,0.39,4.85,-2.95,0.3,-0.42,1.28,1.86
200406,1.66,5.05,5.34,5.56,2.62,0.82,0.04,-0.49,2.01,1.4
200407,-5.98,-4.69,-4.02,3.24,-8.5,-1.09,-4.03,-5.95,1.06,-2.32
200408,0.77,-2.31,1.27,-1.27,-4.4,1.13,-1.2,1.63,3.66,1.89
200409,-2.01,2.44,1.92,8.94,3.33,1.39,2.61,-1.37,1.42,1.12
200410,2.82,-2.66,-1.42,0.66,5.03,3.46,3.06,-2.42,4.22,1.12
200411,4.6,7.16,7.23,6.61,5.85,3.55,3.67,0.64,4.93,4.73
200412,4.79,4.86,2.57,-2.13,3.18,4.22,3.5,5.67,2.41,4.45
200501,0.21,-6.7,-1.8,3.05,-6.15,-4.21,-1.07,-4.08,1.75,-2.19
200502,0.71,-0.28,4.18,19.07,-0.19,-0.3,0.83,2.44,2.33,0.14
200503,-0.85,-7.59,-1.48,-3.22,-2.42,-0.14,0.05,-0.49,0.59,-2.38
200504,-0.96,-11.02,-4.68,-5.76,-4.56,-2,-5.28,3.93,2.09,-1.62
200505,2.35,8.67,2.88,2.19,7.73,1.46,6.43,1.5,1.73,3.28
200506,-1.68,1.78,-1.23,5.89,-1.55,0.05,2.44,-0.59,5.55,1.4
200507,2.67,5.2,5.85,6.17,6.12,3.09,5.81,3.72,3.01,2.38
200508,0.08,-2.67,-1.32,5.71,-0.54,-1.25,-5.62,-0.28,1.18,-1.65
200509,0.35,-4.81,0.81,7.05,0.65,-1.47,-1.8,-1.86,4.38,1.2
200510,-1.51,-4.15,-2.46,-10,-1.85,-2.98,1.55,-3.27,-6.85,1.28
200511,1,2.25,5.31,1.36,6.51,2.62,3.95,1.6,-0.2,4.9
200512,-0.08,-0.63,1.45,0.75,-1.86,-1.66,-0.59,2.38,1.24,0.18
200601,0.05,6.14,5.13,12.68,3.76,3.82,2.01,2.16,3.06,1.58
200602,1.13,-0.28,1.07,-8.22,-1.05,3.33,1.41,1.09,0.22,1
200603,1.26,2.81,2.99,4.23,2.89,1.82,2.43,-0.96,-3.66,1.86
200604,1.02,0.56,4.07,4.64,-1.18,1.68,-1.58,-1.94,1.86,2.16
200605,1.09,0.49,-3.34,-3.44,-6.74,-0.22,-1.88,-2.19,1.52,-3.07
200606,0.27,1.9,-0.51,2.48,-1.38,2.96,0.29,-0.13,2.41,-0.35
200607,3.5,-3.21,-3.76,4.69,-3.86,2.24,-4.31,4.12,4.85,-0.89
200608,3.08,2,2.1,-3.66,7.3,2.53,2.07,2.26,2.35,1.71
200609,-0.62,4.29,1.87,-3.58,3.67,3.61,5.76,1.52,-2.19,3.22
200610,2.8,5.12,4.37,4.96,4.07,5.26,3.88,1.71,5.38,3.01
200611,1.41,1.84,3.57,8.6,3.03,0.65,-1.33,0.09,3.12,1.67
200612,2,-0.76,0.5,-1.97,-0.95,4.26,1.44,0.18,0.69,3.16
200701,1.52,2.73,3.22,-1.41,2.07,3.2,3.54,3.49,0.44,1.06
200702,-1.53,-0.43,0.77,-2.14,-2.36,-2.64,-0.62,-2.84,4.25,-2.35
200703,2.62,-1.07,1.59,5.95,0.93,2.3,0.73,-0.25,4.39,-0.18
